NO,stars,day
1,2.13,2019.12.29
2,5.11,2019.12.27
3,6.31,2019.12.25
4,6.24,2019.12.24
5,5.05,2019.12.22
6,4.31,2019.12.20
7,3.93,2019.12.19
8,4.93,2019.12.16
9,4.62,2019.12.11
10,7.02,2019.12.08
11,7.26,2019.12.06
12,7.56,2019.12.04
13,7.76,2019.12.02
14,7.11,2019.11.30
15,7.66,2019.11.27
16,6.52,2019.11.25
17,7.36,2019.11.23
18,6.85,2019.11.21
19,7.61,2019.11.19
20,5.86,2019.11.17
21,5.30,2019.11.13
22,5.95,2019.11.12
23,6.18,2019.11.09
24,7.51,2019.11.06
25,7.56,2019.11.05
26,6.89,2019.11.02
27,6.50,2019.10.31
28,8.33,2019.10.28
29,8.22,2019.10.26
30,7.64,2019.10.23
31,8.53,2019.10.20
32,9.10,2019.10.18
33,9.05,2019.10.16
34,8.81,2019.10.15
35,8.46,2019.10.12
36,8.87,2019.10.10
37,8.08,2019.10.08
38,8.35,2019.10.05
39,9.05,2019.10.03
40,8.96,2019.10.01
41,8.87,2019.09.28
42,9.38,2019.09.25
43,9.32,2019.09.24
44,8.70,2019.09.21
45,9.22,2019.09.18
46,9.20,2019.09.16
47,9.15,2019.09.14
48,8.36,2019.09.12
49,8.81,2019.09.08
50,9.33,2019.09.07
51,9.00,2019.09.05
52,8.89,2019.09.03
53,8.48,2019.09.01
54,8.05,2019.08.28
55,9.12,2019.08.26
56,9.19,2019.08.24
57,9.23,2019.08.21
58,9.20,2019.08.18
59,9.29,2019.08.16
60,7.59,2019.08.14
61,8.72,2019.08.12
62,9.33,2019.08.11
63,9.10,2019.08.07
64,9.10,2019.08.06
65,8.50,2019.08.02
66,9.58,2019.07.31
67,9.39,2019.07.29
68,9.25,2019.07.26
69,9.51,2019.07.24
70,9.45,2019.07.22
71,9.41,2019.07.20
72,9.44,2019.07.15
73,9.57,2019.07.14
74,9.55,2019.07.12
75,9.44,2019.07.10
76,9.58,2019.07.08
77,8.69,2019.07.05
78,9.01,2019.07.04
79,8.26,2019.07.02
80,7.92,2019.06.30
81,8.49,2019.06.26
82,9.38,2019.06.24
83,9.12,2019.06.22
84,9.48,2019.06.18
85,9.51,2019.06.17
86,9.19,2019.06.14
87,9.61,2019.06.11
88,9.49,2019.06.09
89,9.55,2019.06.07
90,9.28,2019.06.05
91,8.97,2019.06.03
92,9.32,2019.05.31
93,9.58,2019.05.29
94,9.33,2019.05.27
95,9.15,2019.05.24
96,9.58,2019.05.22
97,9.39,2019.05.19
98,9.03,2019.05.18
